time,lat,lon,SPM,TUR,CHL,site
2022-01-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-01-31,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-02-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-04,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-06,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-08,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-09,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-10,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-11,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-12,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-13,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-14,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-15,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-16,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-17,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-18,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-19,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-20,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-21,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-22,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-23,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-24,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-25,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-26,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-27,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-28,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-29,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-30,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-03-31,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-01,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-02,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-03,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-05,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
2022-04-07,54.81157407407407,-0.5005241090146662,,,,Seaton Carew North Approx
